"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_MainTex","Texture","Textura principal","Textur","テクスチャ","텍스처","主色","Текстура"
"_MainTexUV","UV","UV","UV","UV","UV","UV","UV"
"_MainTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_MainPixelMode","Pixel Mode","Modo píxel","Pixelmodus","ピクセル モード","픽셀 모드","像素模式","Пиксельный Режим"
"_MainTexStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样 (Stochastic)","Стохастическая Выборка"
"_BumpMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图","Карта Нормалей"
"_BumpMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_BumpMapUV","UV","UV","UV","UV","UV","UV","UV"
"_BumpScale","Intensity","Intensidad","Intensität","輝度調整","강도","强度","Интенсивность"
"_BumpMapStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样 (Stochastic)","Стохастическая Выборка"
"_ClippingMask","Clipping Mask","Máscara de recorte (Canal alfa)","Alpha-Textur","アルファマップ","알파 맵","剪裁遮罩 (Alpha通道)","Маска Отсечения"
"_ClippingMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_ClippingMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_Inverse_Clipping","Inverse Clipping","Invertir recorte","Umkehren","反転","반전","反转剪裁","Обратное Отсечение"
"_Cutoff","Alpha Cutoff","Umbral alfa","Alpha-Cutoff","アルファ カットオフ","알파 컷오프","Alpha 阈值 (Cutoff)","Порог отсечения Альфа-канала"
"m_start_MainHueShift","Color Adjust","Cambio de tono","Farbanpassung","ぼかし調整","색조 조정","色相调整","Коррекция Цвета"
"_MainColorAdjustToggle","Adjust Colors","Ajustar colores","Farben anpassen","色を調整する","색상 조정","调整颜色","Коррекция Цвета"
"_MainColorAdjustTexture","Mask (Expand)","Máscara de ajuste (Expandir)","Maske (Erweitern)","マスク（拡大）","마스크 (확장)","调整遮罩 (展开)","Маска (Развернуть)"
"_MainColorAdjustTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_MainColorAdjustTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_Saturation","Saturation","Saturación","Sättigung","彩度","채도","饱和度","Насыщенность"
"_MainChromatize","Chromatize","Cromatizar","Chromatisieren","クロマタイズ","크로마타이즈","色度化","Хроматизировать"
"_MainTintColor","Tint","Tinte","Tönung","ティント","틴트","着色","Оттенок"
"_MainBrightness","Brightness","Brillo","Helligkeit","明るさ","밝기","亮度","Яркость"
"_MainHueShiftToggle","<size=13><b>  Hue Shift</b></size>","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移 (Hue Shift)</b></size>","<size=13><b>Сдвиг Тона</b></size>"
"_MainHueShiftReplace","Hue Replace?","¿Reemplazo de tono?","Farbton ersetzen?","ぼかし置換","색조 교체","替换色相?","Замена Тона?"
"_MainHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移","Сдвиг Тона"
"_MainHueShiftSpeed","Hue Shift Speed","Velocidad del cambio","Farbtonverschiebungsgeschwindigkeit","ぼかしシフト速度","색조 시프트 속도","色相偏移速度","Скорость Сдвига Тона"
"_MainHueALCTEnabled","Hue Shift Audio Link","<size=13><b>Cambio de tono del AudioLink </b></size>","<size=13><b>Hue Shift Audio Link</b></size>","<size=13><b> ぼかしシフト・オーディオリンク</b></size>","<size=13><b>색조 시프트 오디오 링크</b></size>","<size=13><b>色相偏移 AudioLink</b></size>","<size=13><b>AudioLink Сдвиг Тона</b></size>"
"_MainALHueShiftBand","Band","Banda","Band","バンド","밴드","频段","Частота"
"_MainALHueShiftCTIndex","Motion Type","Tipo de movimiento","Bewegungstyp","モーションタイプ","모션 타입","运动类型","Тип Движения"
"_MainHueALMotionSpeed","Motion Speed","Velocidad de movimiento","Bewegungsgeschwindigkeit","モーションスピード","모션 속도","运动速度","Скорость Движения"
"m_start_MainHueShiftGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩","Глобальная Маска"
"_MainHueGlobalMask","Hue","Tono","Farbton","ぼかし","색조","色相","Тон"
"_MainHueGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_MainSaturationGlobalMask","Saturation","Saturación","Sättigung","色調","채도","饱和度","Насыщенность"
"_MainSaturationGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_MainBrightnessGlobalMask","Brightness","Brillo","Helligkeit","明るさ","밝기","亮度","Яркость"
"_MainBrightnessGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_AlphaForceOpaque","Force Opaque","Forzar opacidad","Undurchsichtig erzwingen","不透明を強制","불투명 강제","强制不透明","Принудительная непрозрачность"
"_AlphaMod","Alpha Mod","Modo alfa","Alpha-Mod","透明度","알파 모드","Alpha 模式","Альфа-мод"
"_AlphaPremultiply","Alpha Premultiply","Alfa premultiplicativo","Alpha-Vormultiplikation","アルファ事前乗算","알파 미리 곱하기","Alpha 预乘","Альфа-премультипликация"
"_AlphaBoostFA","Boost Transparency in ForwardAdd","Aumentar transparencia en pasada de adición directa (ForwardAdd)","Erhöhen Sie die Transparenz in ForwardAdd","ForwardAdd で透明性を高める","ForwardAdd에서 투명도 높이기","在 ForwardAdd 中增强透明度","Повышение прозрачности в ForwardAdd"
"_AlphaToCoverage","A2CToggle","<size=13><b>Transparencia por cobertura (A2C) </b></size>","<size=13><b> Alpha bis Abdeckung</b></size>","<size=13><b>アルファを範囲に使用する</b></size>","<size=13><b>알파 대 커버리지</b></size>","<size=13><b>Alpha To Coverage (A2C)</b></size>",""
"_AlphaSharpenedA2C","Sharpened  A2C","Transparencia por cobertura nítida","A2C geschärft","鮮明なA2C","선명한 A2C","锐化 A2C",""
"_AlphaMipScale","Mip Level Alpha Scale","Escala alfa por nivel de Mipmap","Mip-Level-Alpha-Skala","ミップ レベル アルファ スケール","맵 레벨 알파 스케일","Mip 层级 Alpha 缩放",""
"_AlphaDithering","Dithering","<size=13><b>Tramado (Dithering) </b></size>","<size=13><b>Dithering</b></size>","<size=13><b>ディザリング</b></size>","<size=13><b>디더링</b></size>","<size=13><b>抖动 (Dithering)</b></size>","<size=13><b>Дизеринг (Dithering) </b></size>"
"_AlphaDitherGradient","Dither Gradient","Gradiente de tramado","Dither-Gradient","ディザグラデーション","디더 그라데이션","抖动渐变","Градиент Дизеринга"
"_AlphaDistanceFade","Distance Alpha","<size=13><b>Atenuación alfa por distancia </b></size>","<size=13><b> Abstand Alpha</b></size>","<size=13><b>距離アルファ</b></size>","<size=13><b>거리 알파</b></size>","<size=13><b>距离淡入淡出 (Alpha)</b></size>","<size=13><b>Затухание альфы с расстоянием</b></size>"
"_AlphaDistanceFadeType","Pos To Use","Posición a usar","Zu verwendende Position","使用する位置","사용할 위치","使用位置","Использовать Позицию"
"_AlphaDistanceFadeMinAlpha","Min Distance Alpha","Alfa mínimo por distancia","Mindestabstand Alpha","最小距離アルファ","최소 거리 알파","最小距离 Alpha","Мин. Расстояние Альфа"
"_AlphaDistanceFadeMaxAlpha","Max Distance Alpha","Alfa máximo por distancia","Maximale Entfernung Alpha","最大距離アルファ","최대 거리 알파","最大距离 Alpha","Макс. Расстояние Альфа"
"_AlphaDistanceFadeMin","Min Distance","Distancia mínima","Mindestabstand","最小距離","최소 거리","最小距离","Мин. Расстояние"
"_AlphaDistanceFadeMax","Max Distance","Distancia máxima","Maximale Entfernung","最大距離","최대 거리","最大距离","Макс. Расстояние"
"_AlphaFresnel","Fresnel Alpha","<size=13><b>Alfa de Fresnel </b></size>","<size=13><b>Fresnel-Alpha</b></size>","<size=13><b> フレネル アルファ</b></size>","<size=13><b>프레넬 알파</b></size>","<size=13><b>菲涅尔 Alpha</b></size>","<size=13><b>Френель Альфа</b></size>"
"_AlphaFresnelAlpha","Intensity","Intensidad","Intensität","強さ","강도","强度","Интенсивность"
"_AlphaFresnelSharpness","Sharpness","Nitidez","Schärfe","鮮明さ","선명도","锐度","Резкость"
"_AlphaFresnelWidth","Width","Ancho","Breite","幅","너비","宽度","Ширина"
"_AlphaFresnelInvert","Invert","Invertir","Umkehren","反転","반전","反转","Инвертировать"
"_AlphaAngular","Angular Alpha","<size=13><b>Alfa angular </b></size>","<size=13><b>Angular Alpha</b></size>","<size=13><b>角度のあるアルファ</b></size>","<size=13><b>각도 알파</b></size>","<size=13><b>角度 Alpha</b></size>","<size=13><b>Угловая Альфа</b></size>"
"_AngleType","Angle Type","Tipo de ángulo","Winkeltyp","アングルタイプ","각도 유형","角度类型","Тип Угла"
"_AngleCompareTo","Model or Vert Positon","Comparar con modelo o posición de vértice","Modell oder vertikale Position","モデルまたは頂点位置","모델 또는 수직 위치","模型或顶点位置",""
"_AngleForwardDirection","Forward Direction","Dirección frontal","Vorwärtsrichtung","順方向","전방","前向方向",""
"_CameraAngleMin","Camera Angle Min","Ángulo mínimo de cámara","Kamerawinkel min","カメラアングル最小","카메라 각도 최소","最小摄像机角度",""
"_CameraAngleMax","Camera Angle Max","Ángulo máximo de cámara","Kamerawinkel max","カメラアングル最大","카메라 각도 최대","最大摄像机角度",""
"_ModelAngleMin","Model Angle Min","Ángulo mínimo de modelo","Modell Winkel min","モデル角度最小","모델 각도 최소","最小模型角度",""
"_ModelAngleMax","Model Angle Max","Ángulo máximo de modelo","Modell Winkel max","モデル角度最大","모델 각도 최대","最大模型角度",""
"_AngleMinAlpha","Min Alpha","Alfa mínimo","Min-Alpha","最小アルファ","최소 알파","最小 Alpha","Мин. Альфа"
"_AlphaAudioLinkEnabled","Alpha Audio Link","<size=13><b>Alfa del AudioLink </b></size>","<size=13><b> Alpha-Audio-Link</b></size>","<size=13><b>アルファ・オーディオリンク</b></size>","<size=13><b>알파 오디오 링크</b></size>","<size=13><b>Alpha AudioLink</b></size>","<size=13><b>Альфа AudioLink</b></size>"
"_AlphaAudioLinkAddBand","Add Band","Banda de suma","Band hinzufügen","バンドを追加","밴드 추가","添加频段","Добавить Частоту"
"_AlphaAudioLinkAddRange","Add Range","Rango de suma","Bereich hinzufügen","範囲を追加","범위 추가","添加范围","Добавить Диапазон"
"m_start_AlphaGlobalMask","","Máscara global alfa","Globale Maske","グローバル マスク","글로벌 마스크","Alpha 全局遮罩","Альфа Глобальная Маска"
"_AlphaGlobalMask","Global Mask","Alfa","Alpha","アルファ","알파","Alpha","Глобальная Маска"
"_AlphaGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"m_start_DetailOptions","Detail Normals & Texture","Opciones del detalle","Einzelheiten","ディテール","디테일","细节选项","Нормаль & Текстура Деталей"
"_DetailEnabled","Enable","Activar detalles","Aktivieren","有効","활성화","启用细节","Включить"
"_DetailMask","Detail Mask (Expand)","Máscara del detalle (Expandir)","Detailmaske (Erweitern)","ディテールマスク (拡張)","디테일 마스크 (확장)","细节遮罩 (展开)","Маска Деталей (Развернуть)"
"_DetailMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DetailMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_DetailTint","Tint","Tinte del detalle","Detail-Textur-Tönung","ディテールテクスチャの色","디테일 텍스처 틴트","细节着色","Оттенок"
"_DetailMaskStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_DetailTex","Detail Texture","Textura del detalle","Detail-Textur","ディテールテクスチャ","디테일 텍스처","细节纹理","Текстура Деталей"
"_DetailTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DetailTexUV","UV","UV","UV","UV","UV","UV","UV"
"_DetailTexStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"_DetailTexIntensity","Intensity","Intensidad de la textura del detalle","Detail Tex-Intensität","ディテールテクスチャの透明度の調整","디테일 텍스처 강도","细节纹理强度","Интенсивность"
"_DetailBrightness","Brightness","Brillo del detalle:","Detailhelligkeit:","ディテール輝度:","디테일 밝기:","细节亮度:","Яркость"
"_DetailNormalMap","Detail Normal","Mapa de normales del detalle","Details Normal","ディティールノーマル","디테일 노멀","细节法线","Нормаль Деталей"
"_DetailNormalMapScale","Intensity","Intensidad del mapa de normales del detalle","Detail Normale Intensität","ディテールノーマル(法線)の大きさ","디테일 노멀 강도","细节法线强度","Интенсивность"
"_DetailNormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DetailNormalMapUV","UV","UV","UV","UV","UV","UV","UV"
"_DetailNormalMapStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样","Стохастическая Выборка"
"m_start_vertexManipulation","Basics & Fun","Manipulación de vértices","Vertex-Optionen","頂点オプション","버텍스 옵션","顶点操作","Базовое & Интересное"
"_VertexManipulationsEnabled","Enabled","Activar manipulación de vértices","Ermöglicht","有効","활성화됨","启用顶点操作","Включено"
"_VertexManipulationLocalTranslation","Local Translation","Traslación local","Lokale Übersetzung","ローカルトランスレーション","로컬 변환","本地位移","Локальное Преобразование"
"_VertexManipulationLocalRotation","Rotation","Rotación local","Lokale Rotation","ローカルローテーション","로컬 회전","本地旋转","Вращение"
"_VertexManipulationLocalRotationSpeed","Rotation Speed","Velocidad de rotación local","Lokale Rotationsgeschwindigkeit","ローカル回転速度","로컬 회전 속도","本地旋转速度","Скорость Ротации"
"_VertexManipulationLocalScale","Scale","Escala local","Lokale Skala","ローカル スケール","로컬 스케일","本地缩放","Локальный масштаб"
"_VertexManipulationWorldTranslation","World Translation","Traslación global","Weltübersetzung","ワールド基準でメッシュを移動","월드 변환","世界位移","Глобальное Преобразование"
"_VertexManipulationHeight","Height","Altura de vértice","Scheitelhöhe","頂点の高さ","버텍스 높이","顶点高度","Высота"
"_VertexManipulationHeightMask","Height Map Texture","Mapa de altura","HöhenTextur","ハイトマップ","높이 맵","高度图","Текстура Карты Высот"
"_VertexManipulationHeightMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_VertexManipulationHeightMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_VertexManipulationHeightMaskChannel","Mask Channel","Canal","Kanal","チャンネル","채널","通道","Канал Маски"
"_VertexManipulationHeightBias","Map Bias","Máscara de sesgo","Maskenverzerrung","マスクの傾き","마스크 바이어스","遮罩偏移","Смещение Карты"
"_VertexRoundingEnabled","Rounding Enabled","Activar redondeo de vértices","Rundung aktiviert","丸める","라운딩 활성화","启用顶点圆角","Округление Включено"
"_VertexRoundingSpace","Rounding Space","Espacio de redondeo","Rundungsraum","丸めるスペース","라운딩 공간","圆角空间","Пространство Округления"
"_VertexRoundingDivision","Rounding Interval","Intervalo de redondeo","Rundungsintervall","丸める間隔","라운딩 간격","圆角间隔","Интервал Округления"
"_VertexBarrelMode","<size=13><b>  Barrel Mode</b></size>","<size=13><b>Modo del barril </b></size>","<size=13><b>Fassmodus</b></size>","<size=13><b>バレルモード</b></size>","<size=13><b>배럴 모드</b></size>","<size=13><b>桶形失真模式</b></size>","<size=13><b>Режим Бочки</b></size>"
"_VertexBarrelWidth","Barrel Width","Ancho del barril","Fassbreite","バレル幅","배럴 너비","桶形宽度","Ширина Бочки"
"_VertexBarrelAlpha","Barrel Alpha","Alfa del barril","Barrel Alpha","バレルアルファ","배럴 알파","桶形 Alpha","Альфа Бочки"
"_VertexBarrelHeight","Barrel Height","Altura del barril","Laufhöhe","バレルの高さ","배럴 높이","桶形高度","Высота Бочки"
"_VertexAudioLinkEnabled","Audio Link","<size=13><b>AudioLink de los vértices </b></size>","<size=13><b>Audiolink</b></size>","<size=13><b>オーディオリンク</b></size>","<size=13><b>오디오링크</b></size>","<size=13><b>顶点 AudioLink</b></size>","<size=13><b>AudioLink</b></size>"
"_VertexLocalTranslationALBand","Band","Banda de traslación local","Lokale Übersetzungsband","ローカル変換バンド","로컬 변환 밴드","本地位移频段","Частота"
"_VertexLocalTranslationALMin","Translation Min","Traslación local mínima","Lokale Übersetzung Min","ローカル翻訳分","로컬 변환 최소","本地位移最小","Локальное Преобразование Мин."
"_VertexLocalTranslationALMax","Translation Max","Traslación local máxima","Lokale Übersetzung max","ローカル変換最大","로컬 변환 최대","本地位移最大","Локальное Преобразование Макс."
"_VertexLocalRotationALBandX","Band X","Banda de rotación X","Rotationsband X","回転バンド X","회전 밴드 X","旋转频段 X","Частота X"
"_VertexLocalRotationALBandY","Band Y","Banda de rotación Y","Rotationsband Y","回転バンド Y","회전 밴드 Y","旋转频段 Y","Частота Y"
"_VertexLocalRotationALBandZ","Band Z","Banda de rotación Z","Rotationsband Z","回転バンド Z","회전 밴드 Z","旋转频段 Z","Частота Z"
"_VertexLocalRotationAL","Rotation","Rotación","Drehung","回転","회전","旋转","Вращение"
"_VertexLocalRotationCTALBandX","Band X","Banda X","Band X","バンド X","밴드 X","频段 X","Частота X"
"_VertexLocalRotationCTALTypeX","Motion Type X","Tipo de movimiento X","Bewegungstyp X","モーションタイプX","모션 타입 X","运动类型 X","Тип Движения X"
"_VertexLocalRotationCTALBandY","Band Y","Banda Y","Band Y","バンド Y","밴드 Y","频段 Y","Частота Y"
"_VertexLocalRotationCTALTypeY","Motion Type Y","Tipo de movimiento Y","Bewegungstyp Y","モーションタイプY","모션 타입 Y","运动类型 Y","Тип Движения Y"
"_VertexLocalRotationCTALBandZ","Band Z","Banda Z","Band z","バンド Z","밴드 Z","频段 Z","Частота Z"
"_VertexLocalRotationCTALTypeZ","Motion Type Z","Tipo de movimiento Z","Bewegungstyp Z","モーションタイプZ","모션 타입 Z","运动类型 Z","Тип Движения Z"
"_VertexLocalRotationCTALSpeed","Speed","Velocidad de rotación","Drehgeschwindigkeit","回転速度","회전 속도","旋转速度","Скорость"
"_VertexLocalScaleALBand","Band","Banda de escala","Skalenband","スケールバンド","스케일 밴드","缩放频段","Частота"
"_VertexLocalScaleALMin","Scale Min","Escala mínima","Maßstab min","最小スケール","스케일 최소","缩放最小","Мин. Масштаб"
"_VertexLocalScaleALMax","Scale Max","Escala máxima","Maßstab max","最大スケール","스케일 최대","缩放最大","Макс. Масштаб"
"_VertexWorldTranslationALBand","Band","Banda de traslación global","Weltübersetzungsband","世界翻訳バンド","월드 변환 밴드","世界位移频段","Частота"
"_VertexWorldTranslationALMin","World Translation Min","Traslación global mínima","Weltübersetzung Mind","ワールド翻訳分","월드 변환 최소","世界位移最小","Глобальное Преобразование Мин."
"_VertexWorldTranslationALMax","World Translation Max","Traslación global máxima","Weltübersetzung max","最大ワールドトランスレーション","월드 변환 최대","世界位移最大","Глобальное Преобразование Макс."
"_VertexManipulationHeightBand","Band","Banda de altura de vértices","Scheitelhöhenband","頂点高さバンド","버텍스 높이 밴드","顶点高度频段","Частота"
"_VertexManipulationHeightAL","Height","Altura de vértice","Scheitelhöhe","頂点の高さ","버텍스 높이","顶点高度","Высота"
"_VertexRoundingRangeBand","Band","Banda de redondeo","Rundungsband","丸めるバンド","라운딩 밴드","圆角频段","Частота"
"_VertexRoundingRangeAL","Range","Rango de redondeo","Rundungsbereich","丸め範囲","라운딩 범위","圆角范围","Диапазон"
"m_start_vertexGlitching","Glitching","Fallos de vértices (Vertex Glitching)","Vertex-Glitch","頂点グリッチ","버텍스 글리치","顶点故障 (Glitching)","Помехи (Glitching)"
"_VertexGlitchingEnabled","Enabled","Activar fallo","Ermöglicht","有効","활성화됨","启用故障效果","Включено"
"_VertexGlitchingUseTexture","Use Texture","<size=13><b>Usar textura </b></size>","<size=13><b>Textur verwenden</b></size>","<size=13><b>テクスチャを使用</b></size>","<size=13><b>텍스처 사용</b></size>","<size=13><b>使用纹理</b></size>","<size=13><b>Использовать текстуру</b></size>"
"_VertexGlitchMap","Glitch Map [Click to Expand]","Mapa de fallos (Expandir)","Glitch-Textur ]","グリッチマップ (展開)","글리치 맵 ]","故障贴图 (展开)","Карта Помех [Нажмите чтобы развернуть]"
"_VertexGlitchDensity","Glitch Density","Densidad de fallos","Glitch-Dichte","グリッチ密度","글리치 밀도","故障密度","Плотность Помех"
"_VertexGlitchMapPanSpeed","Glitch Map Pan Speed","Velocidad del barrido del mapa de fallos","Glitch Map Pan-Geschwindigkeit","グリッチ マップのパン速度","글리치 맵 팬 속도","故障图平移速度",""
"_VertexGlitchFrequency","Glitch Interval","Frecuencia de fallo","Glitch-Intervall","グリッチ間隔","글리치 간격","故障频率","Интервал Помех"
"_VertexGlitchThreshold","Glitch Threshold","Umbral de fallo","Glitch-Schwellenwert","グリッチしきい値","글리치 임계값","故障阈值","Порог Помех"
"_VertexGlitchStrength","Glitch Strength","Intensidad de fallo","Glitch-Stärke","グリッチの強さ","글리치 강도","故障强度","Сила Помех"
"_VertexGlitchMirrorEnable","Mirror","<size=13><b>Espejo </b></size>","<size=13><b>Spiegel</b></size>","<size=13><b>鏡</b></size>","<size=13><b>거울</b></size>","<size=13><b>镜像</b></size>","<size=13><b>Зеркало</b></size>"
"_VertexGlitchMirror","Show in mirror","Mostrar en espejo","Im Spiegel zeigen","ミラーに映す","거울에 보이기","在镜像中显示","Показывать в зеркале"
"_VertexGlitchingAudioLinkEnabled","Audio Link","<size=13><b>AudioLink </b></size>","<size=13><b>Audiolink</b></size>","<size=13><b>オーディオリンク</b></size>","<size=13><b>오디오링크</b></size>","<size=13><b>AudioLink</b></size>","<size=13><b>AudioLink</b></size>"
"_VertexGlitchingAudioLinkBand","Glitch Band","Banda de fallo","Glitch-Band","グリッチバンド","글리치 밴드","故障频段","Частота Помех"
"_VertexGlitchingAudiolinkOverride","Override Glitch Intensity with Audiolink","Anular la intensidad de fallos con Audiolink","Überschreiben Sie die Glitch-Intensität mit Audiolink","Audiolink でグリッチの強さを無視する","오디오링크로 글리치 강도 덮어쓰기","AudioLink 覆盖故障强度","Перезаписывать интенсивность помех с помощью AudioLink"
"m_start_MainVertexColors","Vertex Colors","Colores de vértices","Scheitelpunktfarben","頂点の色","버텍스 색상","主顶点颜色","Цвета Вершин"
"_MainVertexColoringEnabled","Enable","Activar colores de vértices","Aktivieren","有効","활성화","启用顶点颜色","Включить"
"_MainVertexColoringLinearSpace","Linear Colors","Colores en espacio lineal","Lineare Farben","リニア色空間","선형 색상","线性空间颜色","Линейное Цветовое Пространство"
"_MainVertexColoring","Use Vertex Color","Usar color de vértices","Vertexfarbe verwenden","頂点カラーを使用","버텍스 색상 사용","使用顶点颜色","Использовать Цвета Вершин"
"_MainUseVertexColorAlpha","Use Vertex Color Alpha","Usar alfa del color de vértices","Vertex Color Alpha verwenden","頂点カラー アルファを使用","버텍스 색상 알파 사용","使用顶点颜色 Alpha","Использовать Альфу Цветов Вершин"
"m_start_backFace","Back Face","Cara trasera","Rückfläche","バックフェイス","뒷면","背面 (BackFace)","Обратная Сторона (Back Face)"
"_BackFaceEnabled","Backface Enabled","Activar cara trasera","Rückseite aktiviert","背面有効","뒷면 활성화됨","启用背面","Обратная Сторона Включена"
"_BackfaceReminder","This feature requires Cull in Rendering to be set to Off in order for this to work!","","","","","",""
"_BackFaceColor","Color","Color","Farbe","色","색상","颜色","Цвет"
"_BackFaceEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","裏面の発光の強さ","뒷면 방출 강도","发光强度","Сила Свечения"
"_BackFaceTexture","Texture","Textura","Textur","テクスチャ","텍스처","纹理","Текстура"
"_BackFaceTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_BackFaceTextureUV","UV","UV","UV#","UV#","UV#","UV","UV"
"_BackFaceMask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_BackFaceMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_BackFaceMaskUV","UV#","UV","UV#","UV#","UV#","UV","UV#"
"_BackFaceMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"_BackFaceDetailIntensity","Detail Intensity","Intensidad del detalle","Detailintensität","ディテールの明るさ","디테일 강도","细节强度","Интенсивность Деталей"
"_BackFaceReplaceAlpha","Replace Alpha","Reemplazar alfa","Alpha ersetzen","アルファを置換","알파 교체","替换 Alpha","Замена Альфы"
"_BackFaceEmissionLimiter","Global Emission Multiplier","Limitador de la emisión","Emissionsbegrenzer","発光の制限","방출 제한기","发光限制器","Глобальный Множитель Свечения"
