,English,German,Japanese,Spanish,Pirate,UwU,Binary,Chinese,
header_editor,Editor,Editor,エディター,Editor,,Editor,01000101 01100100 01101001 01110100 01101111 01110010,编辑器,
,,,,,,,,,
header_modules,Install Packages,Installiere Packages,追加モジュール,Modulos extra,Install Packages,Install Packages,01000101 01111000 01110100 01110010 01100001 00100000 01001101 01101111 01100100 01110101 01101100 01100101 01110011,安装额外功能模组,
header_packages_curated,Curated Tools,,,,,,,,
header_packages_vrcprefabs,VRCPrefabs List,,,,,,,,
,,,,,,,,,
newest,newest,neuste,最新,el más nuevo,,newest,01101110 01100101 01110111 01100101 01110011 01110100,最新,
version,version,version,バージョン,version,,vewsion,01110110 01100101 01110010 01110011 01101001 01101111 01101110,版本,
user,user,Benutzer,ユーザー,Usuario,,usew,01110101 01110011 01100101 01110010,用户,
requirements,Requirements,Voraussetzungen,必要バージョン,Requisitos,,Wequiwements,01010010 01100101 01110001 01110101 01101001 01110010 01100101 01101101 01100101 01101110 01110100 01110011,要求,
add,Add,Hinzufügen,追加,Añadir,,Add,01000001 01100100 01100100,添加,
delete,Delete,Löschen,削除,Borrar,,Dewete,01000100 01100101 01101100 01100101 01110100 01100101,删除,
save,Save,Speichern,保存,Guardar,,Save,01010011 01100001 01110110 01100101,保存,
colorSpaceWarningSRGB,"This texture is marked not as sRGB, but should be"
colorSpaceWarningLinear,"This texture is marked as sRGB, but should be linear"
,,,,,,,,,
default_texture_type,Default Texture Display,Texturen Darstellung,デフォルト表示テクスチャー,Visualización de textura predeterminada,Default Texture Display,Defauwt textuwe dispway,01000100 01100101 01100110 01100001 01110101 01101100 01110100 00100000 01010100 01100101 01111000 01110100 01110101 01110010 01100101 00100000 01000100 01101001 01110011 01110000 01101100 01100001 01111001,默认贴图显示,
default_texture_type_tooltip,Select how your textures should be displayed if the property doesn't force the type,Wähle wie deine Texture Menüs dargestellt werden.,プロパティーに指定されなかった場合にどうテクスチャーが表示されるか指定してください,Seleccione cómo se deben mostrar sus texturas si la propiedad no fuerza el tipo,Select 'ow yer textures should be displayed if the property doesn't force the type,Sewect how youw textuwes shouwd be dispwayed if the pwopewty doesn't fowce the type,01010011 01100101 01101100 01100101 01100011 01110100 00100000 01101000 01101111 01110111 00100000 01111001 01101111 01110101 01110010 00100000 01110100 01100101 01111000 01110100 01110101 01110010 01100101 01110011 00100000 01110011 01101000 01101111 01110101 01101100 01100100 00100000 01100010 01100101 00100000 01100100 01101001 01110011 01110000 01101100 01100001 01111001 01100101 01100100 00100000 01101001 01100110 00100000 01110100 01101000 01100101 00100000 01110000 01110010 01101111 01110000 01100101 01110010 01110100 01111001 00100000 01100100 01101111 01100101 01110011 01101110 00100111 01110100 00100000 01100110 01101111 01110010 01100011 01100101 00100000 01110100 01101000 01100101 00100000 01110100 01111001 01110000 01100101,选择当属性未强制指定类型时的帖图显示类型,
showRenderQueue,Show Render Queue,Zeige Render Queue,Render Queue(描画順)の表示,Mostrar Render Queue,Show Render Queue,Show wendew queue,01010011 01101000 01101111 01110111 00100000 01010010 01100101 01101110 01100100 01100101 01110010 00100000 01010001 01110101 01100101 01110101 01100101,显示渲染队列(Render Queue),
showRenderQueue_tooltip,enable a render queue selector,"erlaubt dem render queue wähler auch mit vrchat zu funktionieren, indem er kopien des orginal shaders mit der neuen render queue erzeugt.",Render Queue(描画順)セレクターの有効化,Habilitar un selector de render queue.,enable a render queue selector,enabwe a wendew queue sewectow,01100101 01101110 01100001 01100010 01101100 01100101 00100000 01100001 00100000 01110010 01100101 01101110 01100100 01100101 01110010 00100000 01110001 01110101 01100101 01110101 01100101 00100000 01110011 01100101 01101100 01100101 01100011 01110100 01101111 01110010,启用渲染队列选择器,
allowCustomLockingRenaming,Allow custom renaming for locking,,,,,,,,
allowCustomLockingRenaming_tooltip,,,,,,,,,
showManualReloadButton,Show Manual Reload Button,,,,,,,,
showManualReloadButton_tooltip,Show button to force the ui to reload,,,,,,,,
gradient_name,Gradient Save File Names,Gradient Datei Namen,グラデーションの保存名,Nombres de archivo de guardado de gradiente,Gradient Save File Names,Gwadient save fiwe names,01000111 01110010 01100001 01100100 01101001 01100101 01101110 01110100 00100000 01010011 01100001 01110110 01100101 00100000 01000110 01101001 01101100 01100101 00100000 01001110 01100001 01101101 01100101 01110011,渐层梯度贴图保存名称命名,
gradient_name_tooltip,"configures the way gradient texture files are named. use <material>, <hash> and <prop> to identify the texture","Definiert wie gradient Datein benannt werden. benutze <material>, <hash> und <prop> um die texture zu indentifizieren",シェーダーインポート時にポップアップを表示する,"Configura la forma en que se nombran los archivos de textura de gradiente. use <material>, <hash> y <prop> para identificar la textura","configures the way gradient texture files are named. use <material>, <hash> and <prop> to identify the texture","configuwes the way gwadient textuwe fiwes awe named. use <material>, <hash> awnd <prop> tuwu identify the textuwe",01100011 01101111 01101110 01100110 01101001 01100111 01110101 01110010 01100101 01110011 00100000 01110100 01101000 01100101 00100000 01110111 01100001 01111001 00100000 01100111 01110010 01100001 01100100 01101001 01100101 01101110 01110100 00100000 01110100 01100101 01111000 01110100 01110101 01110010 01100101 00100000 01100110 01101001 01101100 01100101 01110011 00100000 01100001 01110010 01100101 00100000 01101110 01100001 01101101 01100101 01100100 00101110 00100000 01110101 01110011 01100101 00100000 00111100 01101101 01100001 01110100 01100101 01110010 01101001 01100001 01101100 00111110 00101100 00100000 00111100 01101000 01100001 01110011 01101000 00111110 00100000 01100001 01101110 01100100 00100000 00111100 01110000 01110010 01101111 01110000 00111110 00100000 01110100 01101111 00100000 01101001 01100100 01100101 01101110 01110100 01101001 01100110 01111001 00100000 01110100 01101000 01100101 00100000 01110100 01100101 01111000 01110100 01110101 01110010 01100101,设置渐层梯度贴图的命名规则。使用 <material>, <hash> 和 <prop> 来定义贴图
gradient_add_hash_or_prop,Consider adding <hash> or <prop>.,Consider adding <hash> or <prop>.,名前に<hash>または<prop>を追加することを推奨します。,Considere agregar <hash> o <prop>.,Consider adding <hash> or <prop>.,Considew adding <hash> ow <prop>.,01000011 01101111 01101110 01110011 01101001 01100100 01100101 01110010 00100000 01100001 01100100 01100100 01101001 01101110 01100111 00100000 00111100 01101000 01100001 01110011 01101000 00111110 00100000 01101111 01110010 00100000 00111100 01110000 01110010 01101111 01110000 00111110 00101110,推荐添加 <hash> 或 <prop>,
gradient_add_material,Consider adding <material>.,Consider adding <material>.,名前に<material>を追加することを推奨します。,Considere agregar <material>.,Consider adding <material>.,Considew adding <material>.,01000011 01101111 01101110 01110011 01101001 01100100 01100101 01110010 00100000 01100001 01100100 01100100 01101001 01101110 01100111 00100000 00111100 01101101 01100001 01110100 01100101 01110010 01101001 01100001 01101100 00111110 00101110,推荐添加 <material>,
gradient_add_material_or_prop,Add <material> <hash> or <prop> to destingish between gradients.,Füge <material> <hash> oder <prop> hinzu um zwischen gradients unterscheiden zu können.,名前に<material>、<hash>または<prop>を追加して識別可能にしてください。,Agregue <material> <hash> o <prop> para distinguir entre gradientes.,Add <material> <hash> or <prop> to destingish between gradients.,Add <material> <hash> ow <prop> tuwu destingish between gwadients.,01000001 01100100 01100100 00100000 00111100 01101101 01100001 01110100 01100101 01110010 01101001 01100001 01101100 00111110 00100000 00111100 01101000 01100001 01110011 01101000 00111110 00100000 01101111 01110010 00100000 00111100 01110000 01110010 01101111 01110000 00111110 00100000 01110100 01101111 00100000 01100100 01100101 01110011 01110100 01101001 01101110 01100111 01101001 01110011 01101000 00100000 01100010 01100101 01110100 01110111 01100101 01100101 01101110 00100000 01100111 01110010 01100001 01100100 01101001 01100101 01101110 01110100 01110011 00101110,添加 <material> <hash> 或 <prop> 以识别不同的渐层梯度贴图,
gradient_good_naming,Good naming.,Gute Benennung.,正常な名前です、いいセンスだ。,Buen nombre.,Good naming.,Good naming.,01000111 01101111 01101111 01100100 00100000 01101110 01100001 01101101 01101001 01101110 01100111 00101110,良好的名称,
,,,,,,,,,
autoMarkPropertiesAnimated,Automatically mark animated properties,,,,,,,,
autoMarkPropertiesAnimated_tooltip,Automatically mark properties as animated when changed their value while in animation mode.,,,,,,,,
,,,,,,,,,
auto_lock_dialog,"{0} material(s) have not been locked and will now be locked automatically. Locking in can dramatically improve runtime performance.\n\nDuring this time unity will remain unresponsive, please be patient.",,,,,,,,
lockin_button_single,Lock In Optimized Shader,Material optimieren und sperren,,,,,,,
lockin_button_multi,Lock in Optimized Shaders ({0} materials),{0} Materialien optimieren und sperren,,,,,,,
unlock_button_single,Unlock Shader,Material entsperren,,,,,,,
unlock_button_multi,Unlock Shaders ({0} materials),{0} Materialien entsperren,,,,,,,
,,,,,,,,,
preset_material_notify,This material is a preset.,Dieses Material definiert eine Voreinstellung.,,,,,,,
preset_name,Preset Name,Voreinstellung Benennung,,,,,,,
preset_revert,Revert Preset: ,Voreinstellung rückgänig machen: ,,,,,,,
,,,,,,,,,
yes,Yes,,,,,,,,
no,No,,,,,,,,
recommended,Recommended,,,,,,,,
autoSetAnchorOverride,Auto set Anchor Overrides (Bad Lighting Fix),,,,,,,,
autoSetAnchorOverride_tooltip,Automatically sets anchor overrides for renderers that don't have them set already. This happens during avatar upload and fixes some common lighting issues ingame.,,,,,,,,
humanBoneAnchor,Human Bone Anchor,,,,,,,,
humanBoneAnchor_tooltip,Humanoid bone to use as the anchor override if GameObject not found.,,,,,,,,
anchorOverrideObjectName,Object Anchor Name,,,,,,,,
anchorOverrideObjectName_tooltip,Name of a GameObject somewhere in your avatar's hierarchy to use as an anchor.\nIf not found the humanoid bone will be used.,,,,,,,,
autoAnchorDialog_Title,Thry: Bad Lighting Fix,,,,,,,,
autoAnchorDialog_Text,Your avatar's renderers don't all have an anchor override set.\nThis can cause flickering and uneven lighting on your avatar in some worlds.\n\nWould you like this to always be fixed automatically?\n\nYou can change this in Thry settings at any time.,,,,,,,,
autoAnchorError_NotHumanoid,Auto Anchor Setter: Avatar {0} is not humanoid or is missing an Animator.,,,,,,,,
forceAsyncCompilationPreview,Force Async Compilation In Preview (restart if disabling),,,,,,,,
technical_header,Technical Settings,,,,,,,,
forceAsyncCompilationPreview_tooltip,Speeds up compilation time and doesn't block UI during compilation. (restart editor when disabling),,,,,,,,
saveAfterLockUnlock,Save after lock/unlock,,,,,,,,
saveAfterLockUnlock_tooltip,This Should prevent cyan thumbnails when using Force Async Compilation.,,,,,,,,
fixKeywordsWhenLocking,Fix Keywords When Locking,,,,,,,,
fixKeywordsWhenLocking_tooltip,Fixes certain locking errors relating to keywords being missing.,,,,,,,,
enableDeveloperMode,Developer Mode,,,,,,,,
enableDeveloperMode_tooltip,Enables developer mode. This will show additional options and information in the Shader UI.,,,,,,,,
disableUnlockedShaderStrippingOnBuild,Disable Unlocked Shader Stripping from Build (Requires Developer Mode enabled),,,,,,,,
disableUnlockedShaderStrippingOnBuild_tooltip,Disables functionality that strips unlocked shaders from the build. Debug only, unlocked shaders are slower.,,,,,,,,
,,,,,,,,,
textures_header,Textures Compression,,,,,,,,
texturePackerCompressionWithAlphaOverwrite,Texture Packer Compression | Textures With Alpha,,,,,,,,
texturePackerCompressionWithAlphaOverwrite_tooltip,,,,,,,,
texturePackerCompressionNoAlphaOverwrite,Texture Packer Compression | Textures Without Alpha,,,,,,,,
texturePackerCompressionNoAlphaOverwrite_tooltip,,,,,,,,
gradientEditorCompressionOverwrite,Gradient Editor Compression,,,,,,,,
gradientEditorCompressionOverwrite_tooltip,,,,,,,,
,,,,,,,,,
developer_header,Developer Settings,,,,,,,,
avatar_fixes_header,Avatar Fixes,,,,,,,,
shader_ui_design_header,Shader UI Design,,,,,,,,
shader_ui_features_header,Shader UI Features,,,,,,,,
